epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.218,1.42687,3.30652,1.65344,0.01916,0.95516,0.65068,0.35774,1.11971,3.33193,1.67306,8.888e-05,8.888e-05,8.888e-05
2,20.5941,1.26991,3.22591,1.56971,0.02158,0.95516,0.8793,0.56129,0.90013,3.28921,1.40997,0.000187623,0.000187623,0.000187623
3,27.9528,1.1237,2.76899,1.43543,0.02641,0.93722,0.67179,0.37181,1.20778,3.27338,1.64969,0.000285047,0.000285047,0.000285047
4,36.6632,1.18784,2.3971,1.52037,0.02929,0.96413,0.8385,0.5459,0.94638,2.99299,1.46259,0.000381151,0.000381151,0.000381151
5,43.376,1.18913,2.03863,1.57302,0.93171,0.67302,0.83602,0.51512,1.08179,2.74116,1.58534,0.000475935,0.000475935,0.000475935
6,52.0197,1.24762,1.77964,1.60703,0.94518,0.46388,0.83948,0.48171,1.33983,2.55427,1.88971,0.000569399,0.000569399,0.000569399
7,59.5569,1.18534,1.65527,1.54976,0.76487,0.64185,0.80352,0.48519,1.26428,2.26667,1.79316,0.000661543,0.000661543,0.000661543
8,67.1025,1.12217,1.59497,1.45494,0.84912,0.81614,0.90864,0.60234,1.16739,1.64708,1.70532,0.000752367,0.000752367,0.000752367
9,75.9224,1.08553,1.42387,1.47201,0.7768,0.71749,0.7821,0.51614,1.26859,1.74589,1.87907,0.000841871,0.000841871,0.000841871
10,82.6374,1.13515,1.43748,1.48599,0.79988,0.73991,0.83907,0.52051,1.29872,1.55353,1.84073,0.000930056,0.000930056,0.000930056
11,91.3767,1.17284,1.37009,1.49388,0.84822,0.80192,0.90187,0.58547,1.13754,1.35118,1.61523,0.00101692,0.00101692,0.00101692
12,97.5969,1.06604,1.22756,1.4175,0.88387,0.68259,0.84449,0.49418,1.49255,1.4121,2.09139,0.00103034,0.00103034,0.00103034
13,106.379,1.10968,1.21107,1.42734,0.85966,0.82406,0.89947,0.57986,1.23047,1.27101,1.73457,0.00102301,0.00102301,0.00102301
14,113.067,1.05554,1.19771,1.3856,0.89168,0.81614,0.90973,0.56452,1.26374,1.34973,1.81799,0.00101568,0.00101568,0.00101568
15,121.562,1.06708,1.11782,1.3667,0.86955,0.86688,0.90887,0.59106,1.16259,1.32114,1.75471,0.00100834,0.00100834,0.00100834
16,128.451,1.0396,1.11809,1.36141,0.87674,0.83857,0.889,0.57627,1.27416,1.26903,1.78034,0.00100101,0.00100101,0.00100101
17,136.816,1.03187,1.07922,1.37019,0.94833,0.89238,0.95363,0.67014,1.03622,0.87809,1.5346,0.000993678,0.000993678,0.000993678
18,144.309,1.04494,1.07517,1.32289,0.89925,0.92059,0.95085,0.69484,0.93903,0.8615,1.42795,0.000986346,0.000986346,0.000986346
19,152.161,0.99866,1.03231,1.30602,0.95566,0.88789,0.95136,0.67695,0.98603,0.89093,1.44984,0.000979013,0.000979013,0.000979013
20,160.073,1.07028,1.15424,1.41985,0.87972,0.75433,0.84408,0.58479,1.15918,1.45027,1.69943,0.000971681,0.000971681,0.000971681
21,167.349,1.08523,1.08906,1.40569,0.83415,0.71749,0.80002,0.50635,1.24039,1.40495,1.73532,0.000964348,0.000964348,0.000964348
22,175.49,0.94108,0.93057,1.28562,0.89246,0.85598,0.92073,0.62395,1.12449,0.9976,1.59585,0.000957015,0.000957015,0.000957015
23,182.771,0.996,0.97068,1.30581,0.89768,0.78689,0.90133,0.61137,1.21785,1.04203,1.66006,0.000949683,0.000949683,0.000949683
24,190.854,0.99646,0.99428,1.33814,0.82059,0.80717,0.87645,0.55669,1.24192,0.97738,1.65778,0.00094235,0.00094235,0.00094235
25,197.625,0.97172,1.04971,1.33623,0.81902,0.8296,0.88922,0.55665,1.35031,0.95359,1.77151,0.000935018,0.000935018,0.000935018
26,206.33,0.97347,0.93986,1.30693,0.9621,0.91928,0.97605,0.71046,0.9793,0.73585,1.43322,0.000927685,0.000927685,0.000927685
27,213.762,0.89304,0.91493,1.28713,0.9351,0.9417,0.96543,0.72103,0.94034,0.7099,1.42142,0.000920352,0.000920352,0.000920352
28,221.451,0.9234,0.90852,1.25725,0.97545,0.891,0.96218,0.664,1.07941,0.78394,1.59336,0.00091302,0.00091302,0.00091302
29,229.266,0.95426,0.909,1.27029,0.96402,0.96127,0.98272,0.72879,0.96339,0.6873,1.46716,0.000905687,0.000905687,0.000905687
30,236.806,0.91411,0.95188,1.28648,0.95042,0.94559,0.98344,0.71937,1.05283,0.72806,1.5862,0.000898355,0.000898355,0.000898355
31,245.244,0.965,0.85251,1.28076,0.91215,0.87892,0.95159,0.68196,1.04234,0.76531,1.47165,0.000891022,0.000891022,0.000891022
32,251.74,0.90712,0.88636,1.28205,0.84672,0.86703,0.93392,0.64239,1.00824,0.84628,1.45994,0.000883689,0.000883689,0.000883689
33,260.216,0.86562,0.80451,1.20481,0.92536,0.8895,0.97079,0.6844,0.9887,0.73976,1.44541,0.000876357,0.000876357,0.000876357
34,267.55,0.89636,0.85115,1.27966,0.91455,0.91185,0.9666,0.65454,1.11976,0.78801,1.59916,0.000869024,0.000869024,0.000869024
35,275.327,0.88124,0.84783,1.23747,0.86096,0.91632,0.95792,0.68042,0.93225,0.76731,1.45446,0.000861692,0.000861692,0.000861692
36,282.659,0.88461,0.8508,1.21758,0.909,0.92377,0.96557,0.68707,1.02063,0.76761,1.50672,0.000854359,0.000854359,0.000854359
37,290.583,0.81913,0.832,1.19023,0.92798,0.95964,0.97373,0.72473,0.80307,0.6469,1.2687,0.000847026,0.000847026,0.000847026
38,297.565,0.88006,0.81217,1.24862,0.96816,0.95434,0.98515,0.745,0.83487,0.57218,1.29445,0.000839694,0.000839694,0.000839694
39,305.914,0.89379,0.81488,1.27254,0.98085,0.9188,0.95848,0.73909,0.83428,0.60033,1.28928,0.000832361,0.000832361,0.000832361
40,313.55,0.83367,0.76154,1.19733,0.96402,0.96129,0.98919,0.73524,0.88263,0.57252,1.34506,0.000825029,0.000825029,0.000825029
41,321.229,0.86997,0.7932,1.23875,0.97692,0.94923,0.98956,0.7435,0.93618,0.59752,1.39033,0.000817696,0.000817696,0.000817696
42,330.04,0.87658,0.76698,1.2236,0.98318,0.92825,0.98416,0.7464,0.89485,0.57884,1.3329,0.000810363,0.000810363,0.000810363
43,336.488,0.88141,0.77849,1.22382,0.93577,0.95067,0.98133,0.76986,0.78484,0.57748,1.25228,0.000803031,0.000803031,0.000803031
44,345.219,0.92467,0.77206,1.30757,0.97904,0.95516,0.99067,0.76008,0.87471,0.56187,1.28877,0.000795698,0.000795698,0.000795698
45,351.599,0.85137,0.74516,1.18624,0.98094,0.97309,0.99289,0.78928,0.75888,0.56812,1.19194,0.000788366,0.000788366,0.000788366
46,360.32,0.88572,0.82233,1.26089,0.95991,0.96624,0.98894,0.76454,0.86504,0.62832,1.30266,0.000781033,0.000781033,0.000781033
47,366.77,0.80714,0.71484,1.18431,0.9541,0.96861,0.98708,0.76818,0.86025,0.62392,1.32744,0.0007737,0.0007737,0.0007737
48,375.896,0.75388,0.68644,1.21856,0.96843,0.94619,0.98243,0.74592,0.85029,0.5776,1.31065,0.000766368,0.000766368,0.000766368
